run,seed,return_pct,win_rate,max_dd_pct,trades,pf
1,0,119.16,97.5,3.65,40,31.90
2,1,156.50,95.2,1.22,62,107.47
3,2,216.83,93.3,3.60,89,27.93
4,3,146.06,96.8,1.22,62,115.92
5,4,138.00,91.9,1.50,62,42.98
6,5,86.13,97.2,0.00,36,999.00
7,6,93.33,94.6,0.13,37,470.90
8,7,97.51,91.7,2.98,48,22.62
9,8,141.04,93.7,1.22,63,76.16
10,9,134.60,97.6,0.59,42,199.09
11,10,85.63,94.4,0.14,36,432.25
12,11,121.47,95.1,3.65,41,27.78
13,12,132.76,100.0,0.00,41,999.00
14,13,103.98,90.0,1.84,50,27.06
15,14,213.92,93.3,3.44,90,22.70
16,15,137.09,93.8,1.19,64,80.90
17,16,95.78,87.2,2.96,47,16.41
18,17,96.90,94.6,0.13,37,488.82
19,18,129.53,91.8,1.22,61,70.05
20,19,89.43,97.1,0.01,35,999.00
21,20,106.17,100.0,0.00,35,999.00
22,21,140.13,93.4,1.52,61,34.36
23,22,141.78,90.5,1.22,63,43.14
24,23,80.90,84.4,3.02,45,10.69
25,24,105.20,97.1,0.92,35,71.61
26,25,131.75,97.6,0.59,42,194.91
27,26,81.78,100.0,0.00,34,999.00
28,27,100.05,100.0,0.00,34,999.00
29,28,194.92,93.3,3.64,90,18.30
30,29,76.26,91.7,1.51,36,29.41
31,30,97.56,97.2,0.00,36,999.00
32,31,212.45,94.3,3.62,88,25.88
33,32,183.55,93.3,3.62,89,19.63
34,33,94.27,94.6,0.13,37,475.62
35,34,95.10,97.2,0.00,36,999.00
36,35,86.84,94.6,0.14,37,438.35
37,36,81.25,87.5,3.01,48,11.67
38,37,101.40,100.0,0.00,36,999.00
39,38,84.25,100.0,0.00,34,999.00
40,39,145.62,92.2,1.22,64,85.84
41,40,115.86,100.0,0.00,41,999.00
42,41,121.82,100.0,0.00,40,999.00
43,42,88.92,97.1,0.01,34,999.00
44,43,203.95,94.3,3.43,88,24.89
45,44,125.25,100.0,0.00,41,999.00
46,45,103.34,88.5,3.01,52,14.56
47,46,190.61,93.2,4.00,88,18.80
48,47,101.42,89.1,0.59,46,40.20
49,48,100.47,94.4,0.13,36,506.69
50,49,223.62,95.5,3.60,88,30.39
51,50,108.51,100.0,0.00,38,999.00
52,51,133.41,90.5,1.58,63,24.46
53,52,98.08,89.4,3.01,47,19.69
54,53,93.16,94.9,0.13,39,470.16
55,54,127.08,91.8,1.61,61,21.86
56,55,215.50,93.3,3.58,89,27.77
57,56,96.19,94.6,0.13,37,485.26
58,57,196.28,93.3,3.58,90,25.39
59,58,73.22,94.3,1.56,35,30.45
60,59,153.94,92.3,1.19,65,52.20
61,60,83.40,82.2,3.57,45,7.89
62,61,118.65,97.4,0.60,39,175.66
63,62,86.14,97.1,0.00,34,999.00
64,63,131.56,97.4,0.61,39,194.59
65,64,111.06,100.0,0.00,39,999.00
66,65,121.00,97.4,0.60,39,179.11
67,66,215.68,94.3,3.62,88,26.26
68,67,233.17,94.4,3.62,90,28.30
69,68,85.02,97.2,0.01,36,999.00
70,69,90.16,97.2,0.01,36,999.00
71,70,220.37,94.4,3.58,89,31.95
72,71,107.38,90.0,2.93,50,17.14
73,72,225.52,94.4,3.60,89,24.46
74,73,95.22,89.8,2.96,49,18.38
75,74,97.32,97.4,0.00,38,999.00
76,75,115.43,97.3,0.60,37,170.90
77,76,85.58,87.8,2.98,49,12.24
78,77,98.82,87.5,2.95,48,16.90
79,78,150.06,93.8,1.19,64,103.12
80,79,147.57,95.2,1.22,62,98.21
81,80,108.32,89.6,2.95,48,17.28
82,81,92.54,97.4,0.00,38,999.00
83,82,138.03,95.0,0.17,60,559.71
84,83,130.56,100.0,0.00,39,999.00
85,84,103.41,97.1,0.93,35,70.41
86,85,142.36,93.7,1.56,63,36.58
87,86,181.91,94.4,3.58,89,22.32
88,87,137.38,96.7,0.16,60,383.98
89,88,121.54,97.5,0.59,40,179.90
90,89,200.94,94.4,3.64,89,24.54
91,90,152.29,96.9,0.18,64,617.38
92,91,188.90,94.4,3.64,89,23.13
93,92,136.11,100.0,0.00,41,999.00
94,93,120.70,97.5,0.59,40,178.68
95,94,67.09,91.4,1.61,35,26.00
96,95,88.14,94.6,1.45,37,36.43
97,96,99.26,90.0,2.98,50,19.12
98,97,143.10,96.8,1.22,62,113.61
99,98,97.46,91.7,2.87,48,22.61
100,99,125.54,97.6,3.65,42,33.55
