run,seed,return_pct,win_rate,max_dd_pct,trades,pf
1,0,51.30,85.7,2.63,28,9.83
2,1,103.98,94.6,2.02,37,37.60
3,2,70.38,86.8,3.62,38,6.69
4,3,77.87,91.4,2.21,35,16.89
5,4,83.13,94.4,2.19,36,30.27
6,5,41.61,81.5,3.22,27,6.28
7,6,36.44,76.9,6.54,26,3.29
8,7,76.58,94.3,2.72,35,18.14
9,8,96.60,94.6,2.19,37,27.03
10,9,54.74,86.2,2.56,29,10.42
11,10,36.05,76.0,3.28,25,4.74
12,11,43.83,78.6,3.15,28,5.74
13,12,45.65,82.8,2.69,29,6.33
14,13,75.85,93.9,1.06,33,31.06
15,14,80.24,85.4,3.46,41,7.80
16,15,86.50,91.9,2.03,37,18.65
17,16,78.28,94.1,1.08,34,23.95
18,17,34.84,76.0,6.61,25,3.19
19,18,92.10,94.6,2.13,37,33.42
20,19,75.54,89.7,2.04,39,9.28
21,20,76.77,91.7,2.22,36,19.34
22,21,107.32,94.7,2.02,38,38.78
23,22,93.50,97.3,2.11,37,34.85
24,23,74.71,93.9,1.04,33,30.61
25,24,50.60,82.8,2.64,29,8.79
26,25,54.55,86.7,2.58,30,11.54
27,26,83.01,91.7,2.11,36,17.94
28,27,46.90,82.8,2.74,29,6.48
29,28,64.72,82.9,2.30,41,5.29
30,29,36.86,76.9,3.19,26,4.82
31,30,36.97,79.2,3.28,24,5.69
32,31,80.02,91.4,2.26,35,10.56
33,32,98.42,95.0,1.87,40,19.14
34,33,28.68,77.8,6.93,27,2.80
35,34,35.04,75.0,3.22,24,4.63
36,35,35.67,73.1,3.19,26,4.33
37,36,85.99,97.2,1.05,36,59.43
38,37,39.67,76.9,3.28,26,5.11
39,38,43.29,79.3,2.74,29,5.68
40,39,84.87,91.7,2.19,36,25.36
41,40,50.40,83.3,2.69,30,7.99
42,41,39.64,78.6,2.82,28,5.64
43,42,76.35,87.2,2.73,39,6.70
44,43,95.86,90.2,3.20,41,10.03
45,44,42.86,78.6,2.73,28,6.02
46,45,82.86,97.2,1.05,36,57.30
47,46,76.49,83.3,4.03,42,5.86
48,47,81.49,97.2,2.13,36,27.82
49,48,38.08,78.3,3.28,23,5.83
50,49,82.04,92.3,2.73,39,11.07
51,50,41.89,77.4,4.13,31,4.71
52,51,96.01,97.2,2.11,36,35.75
53,52,80.74,97.1,1.07,35,55.86
54,53,41.60,80.0,3.19,25,6.28
55,54,83.61,94.3,2.19,35,23.53
56,55,79.42,87.2,2.70,39,7.50
57,56,31.13,73.1,7.40,26,2.84
58,57,82.15,90.0,3.98,40,9.12
59,58,40.48,76.9,3.19,26,5.20
60,59,93.39,92.1,2.05,38,23.31
61,60,69.10,88.6,2.13,35,13.17
62,61,41.41,83.3,2.78,30,5.84
63,62,32.32,76.9,6.73,26,3.03
64,63,48.63,83.3,2.63,30,8.48
65,64,48.59,87.1,2.64,31,9.36
66,65,44.93,80.6,4.13,31,5.24
67,66,83.91,89.5,3.98,38,9.30
68,67,93.81,92.3,1.85,39,13.74
69,68,37.46,79.3,4.15,29,4.54
70,69,80.49,90.0,2.11,40,8.75
71,70,97.68,90.5,3.19,42,9.37
72,71,61.58,87.5,1.19,32,12.43
73,72,75.19,92.1,2.01,38,11.46
74,73,82.66,94.1,1.06,34,28.87
75,74,37.61,76.9,6.49,26,3.37
76,75,43.39,83.3,2.71,30,6.47
77,76,75.64,97.1,2.20,34,25.90
78,77,64.13,88.2,2.13,34,14.39
79,78,105.64,94.9,1.94,39,38.18
80,79,92.98,94.6,2.14,37,33.73
81,80,79.11,94.1,1.02,34,32.36
82,81,35.26,76.0,3.28,25,4.66
83,82,92.15,97.3,2.11,37,34.36
84,83,41.40,82.8,2.83,29,5.84
85,84,90.77,94.3,1.04,35,31.60
86,85,97.56,92.1,2.11,38,20.90
87,86,82.76,89.7,3.98,39,9.18
88,87,104.94,97.3,2.02,37,38.98
89,88,36.74,76.7,4.10,30,4.26
90,89,83.85,90.0,1.97,40,9.94
91,90,111.06,94.9,1.93,39,40.09
92,91,100.08,94.9,1.85,39,19.44
93,92,55.47,86.2,2.64,29,10.55
94,93,53.02,86.2,2.53,29,11.24
95,94,39.67,76.9,3.28,26,5.11
96,95,46.67,80.0,3.07,25,6.92
97,96,73.37,88.9,2.13,36,13.92
98,97,82.00,94.4,2.19,36,29.87
99,98,92.88,97.2,1.00,36,64.11
100,99,40.41,79.3,4.04,29,4.81
