entry_time,direction,entry_price,sl,tp,lots,risk_usd,commission,slippage_entry,fill_prob,filled,exit_time,exit_price,exit_reason,pnl_gross,pnl_net,confluence_count,confidence,manipulation_type
1749643200.0,BEAR,3362.8519198725953,3368.75077,3325.93235,0.01,5.0,0.1,0.005989333798401642,0.85,True,1749672000.0,3368.75077,SL,-5.898850127404785,-5.9988501274047845,4,0.95,JUDAS_HIGH
1750867200.0,BEAR,3348.593984768963,3352.05648,3315.2872,0.01,4.695057493629761,0.1,0.006112887287342158,0.75,True,1750928400.0,3352.05648,SL,-3.4624952310373374,-3.5624952310373375,4,0.95,JUDAS_HIGH
1752051600.0,BEAR,3297.092132188325,3305.07719,3273.24131,0.01,4.511932732077895,0.1,0.007965467924716429,0.85,True,1752066000.0,3305.07719,SL,-7.985057811674778,-8.085057811674778,4,0.95,JUDAS_HIGH
1752156000.0,BEAR,3326.435782487471,3330.96009,3304.75493,0.01,4.102679841494157,0.1,0.007111795975947889,0.75,True,1752188400.0,3330.96009,SL,-4.524307512529049,-4.6243075125290485,4,0.9,LIQUIDITY_SWEEP
1752681600.0,BULL,3348.3381807663914,3341.10709,3366.28581,0.01,3.861464465867705,0.1,0.008680722169888997,0.75,True,1752742800.0,3341.10709,SL,-7.231090766391389,-7.331090766391388,4,0.85,JUDAS_LOW
1752652800.0,BEAR,3348.7928244447817,3361.07357,3311.5,0.01,3.866464465867705,0.1,0.007224383343436527,0.75,True,1752847200.0,3361.07357,SL,-12.280745555218346,-12.380745555218345,4,1.0,JUDAS_HIGH
1753801200.0,BULL,3318.4064073411673,3308.44076,3355.33751,0.01,2.870872649787219,0.1,0.006504997417360915,0.75,True,1753862400.0,3355.33751,TP,36.931102658832515,36.83110265883251,4,0.9,JUDAS_LOW
1754380800.0,BULL,3420.6096775211663,3412.89062,3459.07507,0.01,4.707427782728844,0.1,0.009579864916098147,0.75,True,1754395200.0,3412.89062,SL,-7.719057521166178,-7.819057521166178,4,1.0,JUDAS_LOW
1754485200.0,BEAR,3426.9954784491583,3434.4021,3400.90816,0.01,4.311474906670536,0.1,0.004521550841518758,0.75,True,1754499600.0,3434.4021,SL,-7.406621550841465,-7.506621550841465,5,1.0,LIQUIDITY_SWEEP
1754989200.0,BEAR,3399.1768773306044,3406.79857,3379.05017,0.01,3.9311438291284633,0.1,0.0020483218605693897,0.75,True,1755064800.0,3406.79857,SL,-7.621692669395543,-7.7216926693955426,4,1.0,LIQUIDITY_SWEEP
1755478800.0,BEAR,3392.4929825552954,3392.1699,3374.25024,0.01,3.530059195658687,0.1,0.007017444704578902,0.75,True,1755478800.0,3392.1699,SL,0.3230825552955139,0.22308255529551388,5,1.0,JUDAS_HIGH
1755259200.0,BULL,3385.958638856406,3381.08209,3401.12512,0.01,3.535059195658687,0.1,0.00881949057157694,0.85,True,1755493200.0,3401.12512,TP,15.166481143593954,15.066481143593954,4,0.95,LIQUIDITY_SWEEP
